Hour,Date,App_Opens,Trips,Distance to Closest Bike,Battery % - Start,Battery % - End,Starting Geo,Ending Geo,,,,,
0,23-Jul,1,1,0.02,64,62,Geo 2,Geo 3,,,,,
0,23-Jul,1,1,0.31,79,71,Geo 2,Geo 1,,,,,
0,23-Jul,1,1,0.44,31,21,Geo 1,Geo 5,,,,,
0,23-Jul,1,1,0.05,80,71,Geo 3,Geo 4,,,,,
0,23-Jul,1,1,0.27,78,66,Geo 3,Geo 5,,,,,
0,23-Jul,1,1,0.44,64,50,Geo 2,Geo 2,,,,,
1,23-Jul,1,1,0.48,94,90,Geo 1,Geo 2,,,,,
1,23-Jul,1,1,0.23,38,22,Geo 3,Geo 1,,,,,
1,23-Jul,1,1,0.35,57,56,Geo 2,Geo 1,,,,,
1,23-Jul,1,1,0.07,32,15,Geo 2,Geo 1,,,,,
1,23-Jul,1,1,0.36,75,75,Geo 3,Geo 3,,,,,
1,23-Jul,1,1,0.38,94,90,Geo 4,Geo 1,,,,,
1,23-Jul,1,1,0.38,73,58,Geo 4,Geo 4,,,,,
1,23-Jul,1,1,0,63,44,Geo 4,Geo 3,,,,,
1,23-Jul,1,1,0.24,92,87,Geo 1,Geo 2,,,,,
1,23-Jul,1,1,0.19,53,34,Geo 4,Geo 3,,,,,
2,23-Jul,1,1,0,44,29,Geo 2,Geo 3,,,,,
2,23-Jul,1,1,0.1,97,86,Geo 1,Geo 2,,,,,
2,23-Jul,1,1,0.21,82,76,Geo 1,Geo 4,,,,,
2,23-Jul,1,1,0.28,58,43,Geo 1,Geo 4,,,,,
2,23-Jul,1,1,0.18,34,23,Geo 2,Geo 1,,,,,
2,23-Jul,1,1,0.26,55,54,Geo 2,Geo 2,,,,,
2,23-Jul,1,1,0.29,57,38,Geo 1,Geo 5,,,,,
2,23-Jul,1,1,0.06,57,45,Geo 3,Geo 4,,,,,
2,23-Jul,1,1,0.46,89,80,Geo 2,Geo 1,,,,,
3,23-Jul,1,1,0.01,95,89,Geo 3,Geo 4,,,,,
